"Gene1","Gene2","Weight"
"EFCC1","MYCN",0.270385071755488
"C1QTNF9","MYCN",0.26001326039609
"ENSG00000280032","SLC6A3",0.28142946264841
"GDF3","SLC6A3",0.298115969911973
"TRAT1","EOMES",0.316626998515859
"IFNG","EOMES",0.293810625873572
"FASLG","EOMES",0.272154571407555
"UBASH3A","EOMES",0.269471414212278
"GZMH","EOMES",0.303593697791448
"P2RY10","EOMES",0.327058052084167
"XCL2","EOMES",0.295377678681676
"XCL1","EOMES",0.261430238892536
"LINC01915","MYLK-AS2",0.258682674162893
"TUBAL3","MYLK-AS2",0.250159853449767
"ENSG00000227160","MYLK-AS2",0.263941839822836
"MYCN","ENSG00000258691",0.26463435926535
"LINC01915","AVPR2",0.278472520329067
"ENSG00000277489","AVPR2",0.260237634370271
"TUBAL3","AVPR2",0.29592013847096
"ENSG00000205018","AVPR2",0.267688963764458
"LCN10","AVPR2",0.285961779960966
"EFCC1","AVPR2",0.287249700894189
"HOXD1","AVPR2",0.256559832136187
"LOC441179","AVPR2",0.269130421883203
"ENSG00000227160","AVPR2",0.267767795399991
"MYCN","AVPR2",0.282428784479316
"MYLK-AS2","AVPR2",0.257290184037533
"TUBAL3","ENSG00000249772",0.250109596886514
"LCN10","ENSG00000249772",0.280119342076231
"TUBAL3","ENSG00000214578",0.266268037883477
"LCN10","ENSG00000214578",0.262390912468961
"MYCN","ENSG00000214578",0.285087651091732
"TRBV20-1","ICOS",0.251295270273054
"TRAT1","ICOS",0.327631421297268
"IFNG","ICOS",0.296703183091151
"FASLG","ICOS",0.273830501029221
"TRGC1","ICOS",0.26598199039643
"UBASH3A","ICOS",0.2928546339484
"GZMH","ICOS",0.315491094984143
"P2RY10","ICOS",0.338572274444352
"XCL2","ICOS",0.31029906999011
"LINC00892","ICOS",0.25812017316588
"XCL1","ICOS",0.26177293443663
"EOMES","ICOS",0.299842844547855
"ENSG00000273650","FCN3",0.264605049536608
"LINC01915","FCN3",0.264052711935352
"ENSG00000277489","FCN3",0.281056334763903
"TUBAL3","FCN3",0.305091371004926
"ENSG00000205018","FCN3",0.272189257745884
"ENSG00000280032","FCN3",0.253906055884476
"LCN10","FCN3",0.30236443968474
