Regulator	Target	MI
ENSG00000275981	ENSG00000280205	1.3792922544726756
ENSG00000275981	HKDC1	1.3792922544726756
ENSG00000275981	ENSG00000218313	1.3792922544726756
ENSG00000275981	ENSG00000274038	1.3792922544726756
ENSG00000275981	ENSG00000275576	1.3792922544726756
ENSG00000279071	PDE4DIPP4	1.2293362159076602
ENSG00000279071	RN7SL472P	1.2293362159076602
ENSG00000279071	LOC102723692	1.2293362159076602
ENSG00000224121	ERCC-00040	1.2293362159076602
ENSG00000224121	IGLL5	1.2293362159076602
PRSS21	ENSG00000241596	1.2293362159076602
ENSG00000228601	MIR4530	1.2293362159076602
ENSG00000228601	ENSG00000231485	1.2293362159076602
ENSG00000228601	ENSG00000277105	1.2293362159076602
ENSG00000250777	ENSG00000259594	1.2293362159076602
ENSG00000250777	ENSG00000232591	1.3792922544726756
ENSG00000250777	PLPPR1	1.2293362159076602
ENSG00000250777	CDX1	1.2293362159076602
ENSG00000250777	TYRP1	1.3792922544726756
ENSG00000250777	ENSG00000228175	1.3792922544726756
ENSG00000250777	ENSG00000250934	1.2293362159076602
ENSG00000250777	ADRA1B	1.2293362159076602
ENSG00000250777	CPLX2	1.2293362159076602
ENSG00000250777	ENSG00000224442	1.2293362159076602
ENSG00000250777	ENSG00000278915	1.2293362159076602
ENSG00000250777	LINC00656	1.3792922544726756
ENSG00000250777	ENSG00000232022	1.2293362159076602
ENSG00000250777	MIR6124	1.2293362159076602
ENSG00000259109	ABCC5-AS1	1.2293362159076602
C7orf57	KCNA6	1.2293362159076602
C7orf57	ENSG00000255441	1.2293362159076602
SLC18A1	DDX18P3	1.3792922544726756
MYBPC3	ENSG00000260197	1.3792922544726756
MYBPC3	ENSG00000230061	1.3792922544726756
MYBPC3	GLULP1	1.2293362159076602
MYBPC3	KLRC4	1.2293362159076602
MYBPC3	ENSG00000225051	1.3792922544726756
MYBPC3	ENSG00000241135	1.3792922544726756
MYBPC3	ENSG00000247011	1.2293362159076602
MYBPC3	ENSG00000225101	1.2293362159076602
MYBPC3	RPS3AP28	1.2293362159076602
MYBPC3	ENSG00000280348	1.3792922544726756
MYBPC3	SCARNA5	1.3792922544726756
MYBPC3	AMZ2P2	1.2293362159076602
MYBPC3	ENSG00000257803	1.3792922544726756
MYBPC3	SIK1	1.3792922544726756
SERPINB2	ENSG00000276527	1.2293362159076602
