Regulator	Target	MI
CTLA4	FIBCD1	1.2293362159076602
ENSG00000272564	EIF1AX-AS1	1.2293362159076602
OXGR1	PHEX	1.2293362159076602
FCRL1	ENSG00000269978	1.2293362159076602
FCRL1	ENSG00000271631	1.3792922544726756
FCRL3	IGHG3	1.2293362159076602
FCRL3	ENSG00000279229	1.3792922544726756
FCRL3	EPGN	1.2293362159076602
FCRL3	CLEC4OP	1.2293362159076602
FCRL3	ENSG00000256050	1.2293362159076602
FCRL3	NR1H4	1.3792922544726756
FCRL3	ENSG00000224207	1.2293362159076602
FCRL3	ENSG00000255710	1.3792922544726756
FCRL3	LOC102724323	1.2293362159076602
ANO9	ENSG00000260197	1.2293362159076602
ANO9	ENSG00000280348	1.2293362159076602
ANO9	ENSG00000228175	1.2293362159076602
ANO9	ENSG00000225051	1.2293362159076602
ENSG00000212084	ENSG00000253269	1.2293362159076602
ENSG00000265801	ENSG00000236116	1.2293362159076602
ENSG00000200091	ENSG00000279041	1.3792922544726756
ENSG00000200091	RNA5SP387	1.3792922544726756
ENSG00000200091	ENSG00000280696	1.3792922544726756
TCEAL6	EGFL6	1.2293362159076602
LINC00517	ENSG00000257231	1.2293362159076602
LINC00517	ENSG00000231881	1.2293362159076602
CXCR3	RN7SL612P	1.2293362159076602
ENSG00000259594	LOC105375743	1.2293362159076602
ENSG00000259594	ENSG00000241537	1.3792922544726756
ENSG00000259594	ENSG00000272386	1.2293362159076602
ENSG00000259594	KARS1P1	1.3792922544726756
ENSG00000259594	ENSG00000223414	1.3792922544726756
ENSG00000259594	ENSG00000235347	1.3792922544726756
ENSG00000259594	ENSG00000249258	1.3792922544726756
ENSG00000259232	LRRC73	1.3792922544726756
ENSG00000259232	ENSG00000224121	1.3792922544726756
MYBPH	BLACE	1.2293362159076602
ENSG00000236935	ENSG00000277383	1.2293362159076602
ENSG00000236935	ENSG00000225945	1.2293362159076602
ENSG00000236935	LINC00862	1.2293362159076602
ENSG00000231916	ENSG00000225931	1.2293362159076602
ENSG00000231916	ZG16B	1.2293362159076602
ENSG00000270010	ENSG00000229672	1.2293362159076602
ENSG00000270010	ENSG00000236182	1.2293362159076602
ENSG00000270010	ENSG00000279822	1.2293362159076602
ENSG00000279989	ENSG00000248208	1.3792922544726756
ENSG00000279989	ANKRD2	1.3792922544726756
