Regulator	Target	MI
CTNND2	LOC105375743	1.2293362159076602
CTNND2	ENSG00000241537	1.3792922544726756
CTNND2	ENSG00000272386	1.2293362159076602
CTNND2	KARS1P1	1.3792922544726756
CTNND2	ENSG00000223414	1.3792922544726756
CTNND2	ENSG00000235347	1.3792922544726756
CTNND2	ENSG00000249258	1.3792922544726756
ISM2	TBX20	1.2293362159076602
CDH4	LINC00484	1.2293362159076602
SH3GL2	ENSG00000273812	1.2293362159076602
LINC02399	ENSG00000226797	1.3792922544726756
LINC02399	ENSG00000261267	1.3792922544726756
LINC02399	ENSG00000236549	1.3792922544726756
ENSG00000235060	RPSAP53	1.2293362159076602
ENSG00000235060	ENSG00000254165	1.2293362159076602
ENSG00000235060	ENSG00000279235	1.2293362159076602
ENSG00000235060	MTCYBP32	1.2293362159076602
ENSG00000235060	ENSG00000256568	1.2293362159076602
ENSG00000235060	FCF1P5	1.2293362159076602
ENSG00000259251	ENSG00000261266	1.2293362159076602
ENSG00000259251	ENSG00000237576	1.2293362159076602
ENSG00000259251	LOC100996333	1.3792922544726756
ENSG00000259251	CT69	1.2293362159076602
ENSG00000259251	LOC102723604	1.2293362159076602
ENSG00000259251	ENSG00000250777	1.2293362159076602
ENSG00000259251	ENSG00000280205	1.3792922544726756
ENSG00000259251	VN1R103P	1.3792922544726756
ENSG00000259251	LIPN	1.2293362159076602
ENSG00000259251	ENSG00000218313	1.3792922544726756
ENSG00000259251	ENSG00000232486	1.2293362159076602
ENSG00000259251	ENSG00000230684	1.2293362159076602
ENSG00000259251	ENSG00000233189	1.3792922544726756
ENSG00000259251	ENSG00000271993	1.3792922544726756
ENSG00000259251	TRPM5	1.3792922544726756
ENSG00000259251	ENSG00000275981	1.3792922544726756
ENSG00000259251	ENSG00000279613	1.3792922544726756
ENSG00000259251	MTCO1P15	1.3792922544726756
KRT5	ENSG00000262402	1.2293362159076602
KRT5	SLC28A1	1.2293362159076602
HPCAL4	QRSL1P3	1.2293362159076602
POU3F2	ENSG00000273352	1.2293362159076602
POU3F2	SNORD25	1.2293362159076602
POU3F2	ZFY	1.2293362159076602
ENSG00000278915	VPREB3	1.2293362159076602
ENSG00000278915	ENSG00000253755	1.2293362159076602
ENSG00000278915	MTND6P9	1.2293362159076602
ENSG00000278915	H2BC10	1.3792922544726756
ENSG00000278915	ENSG00000254165	1.3792922544726756
ENSG00000278915	MTCYBP32	1.3792922544726756
ENSG00000278915	NDUFAB1P1	1.3792922544726756
DPEP1	ENSG00000279726	1.2293362159076602
DPEP1	ENSG00000224881	1.2293362159076602
TAGLN3	ENSG00000248208	1.3792922544726756
TAGLN3	ANKRD2	1.3792922544726756
ABCG4	ENSG00000179038	1.2293362159076602
CHRNA4	ENSG00000261266	1.2293362159076602
CHRNA4	ENSG00000237576	1.2293362159076602
CHRNA4	LOC100996333	1.3792922544726756
CHRNA4	CT69	1.2293362159076602
CHRNA4	LOC102723604	1.2293362159076602
CHRNA4	ENSG00000250777	1.2293362159076602
CHRNA4	ENSG00000280205	1.3792922544726756
CHRNA4	VN1R103P	1.3792922544726756
CHRNA4	LIPN	1.2293362159076602
CHRNA4	ENSG00000218313	1.3792922544726756
CHRNA4	ENSG00000232486	1.2293362159076602
CHRNA4	ENSG00000230684	1.2293362159076602
CHRNA4	ENSG00000233189	1.3792922544726756
CHRNA4	ENSG00000271993	1.3792922544726756
CHRNA4	TRPM5	1.3792922544726756
CHRNA4	ENSG00000275981	1.3792922544726756
CHRNA4	ENSG00000279613	1.3792922544726756
CHRNA4	MTCO1P15	1.3792922544726756
FOXG1	ENSG00000280159	1.2293362159076602
ENSG00000275729	RPL7AP28	1.2293362159076602
CPLX2	IGHG3	1.2293362159076602
CPLX2	ENSG00000279229	1.3792922544726756
CPLX2	EPGN	1.2293362159076602
CPLX2	CLEC4OP	1.2293362159076602
CPLX2	ENSG00000256050	1.2293362159076602
CPLX2	NR1H4	1.3792922544726756
CPLX2	ENSG00000224207	1.2293362159076602
CPLX2	ENSG00000255710	1.3792922544726756
CPLX2	LOC102724323	1.2293362159076602
LDHC	ENSG00000272864	1.2293362159076602
ENSG00000279019	ENSG00000280159	1.2293362159076602
FGF23	ENSG00000278896	1.2293362159076602
SYT3	ENSG00000213234	1.2293362159076602
ENSG00000271938	ENSG00000278896	1.2293362159076602
MIR124-1HG	PLCH1	1.3792922544726756
AOX2P	EVPL	1.3792922544726756
CSPG5	ENSG00000237422	1.2293362159076602
ENSG00000260212	QRSL1P3	1.2293362159076602
RPSAP53	ENSG00000261970	1.2293362159076602
RPSAP53	CDCP2	1.2293362159076602
RPSAP53	ENSG00000267142	1.2293362159076602
RPSAP53	ENSG00000277738	1.3792922544726756
RPSAP53	MYO1A	1.3792922544726756
RPSAP53	ENSG00000235060	1.2293362159076602
RPSAP53	OVCH2	1.2293362159076602
RPSAP53	OR2B11	1.3792922544726756
RPSAP53	ENSG00000200091	1.3792922544726756
RPSAP53	LINC00239	1.3792922544726756
RPSAP53	ENSG00000230035	1.3792922544726756
RPSAP53	ZFY	1.2293362159076602
ENSG00000272163	LRRC73	1.3792922544726756
ENSG00000272163	ENSG00000224121	1.3792922544726756
CAMKV	ENSG00000260953	1.2293362159076602
CHL1	ENSG00000267110	1.2293362159076602
NEFM	ASS1P12	1.2293362159076602
NEFM	ENSG00000260197	1.2293362159076602
NEFM	GLULP1	1.3792922544726756
NEFM	KLRC4	1.3792922544726756
NEFM	TEX12	1.2293362159076602
NEFM	ENSG00000225051	1.2293362159076602
NEFM	ENSG00000247011	1.3792922544726756
NEFM	ENSG00000225101	1.3792922544726756
NEFM	RPS3AP28	1.3792922544726756
NEFM	RPL17P22	1.2293362159076602
NEFM	ENSG00000280348	1.2293362159076602
NEFM	SLC22A16	1.3792922544726756
NEFM	AMZ2P2	1.3792922544726756
NEFM	AK3P3	1.2293362159076602
SULT4A1	ENSG00000236510	1.2293362159076602
SULT4A1	BNIP3P11	1.2293362159076602
TRIM67	ENSG00000262202	1.2293362159076602
LOC196469	ENSG00000244712	1.3792922544726756
LOC196469	ENSG00000227201	1.3792922544726756
EGFL6	TCEAL6	1.2293362159076602
ACTL6B	QRSL1P3	1.2293362159076602
OVCH2	ENSG00000213046	1.2293362159076602
OVCH2	ENSG00000279041	1.2293362159076602
OVCH2	ENSG00000249834	1.2293362159076602
OVCH2	ENSG00000228551	1.2293362159076602
RPL7AP28	KIRREL2	1.3792922544726756
RPL7AP28	ENSG00000275729	1.2293362159076602
CRH	ENSG00000226797	1.2293362159076602
CRH	ENSG00000261267	1.2293362159076602
CRH	ENSG00000236549	1.2293362159076602
ENSG00000253112	ENSG00000261970	1.2293362159076602
ENSG00000253112	CDCP2	1.2293362159076602
ENSG00000253112	ENSG00000267142	1.2293362159076602
ENSG00000253112	ENSG00000277738	1.3792922544726756
ENSG00000253112	MYO1A	1.3792922544726756
ENSG00000253112	ENSG00000235060	1.2293362159076602
ENSG00000253112	OVCH2	1.2293362159076602
ENSG00000253112	OR2B11	1.3792922544726756
ENSG00000253112	ENSG00000200091	1.3792922544726756
ENSG00000253112	LINC00239	1.3792922544726756
ENSG00000253112	ENSG00000230035	1.3792922544726756
ENSG00000253112	ZFY	1.2293362159076602
PLPPR1	LOC105375743	1.2293362159076602
PLPPR1	ENSG00000241537	1.3792922544726756
PLPPR1	ENSG00000272386	1.2293362159076602
PLPPR1	KARS1P1	1.3792922544726756
PLPPR1	ENSG00000223414	1.3792922544726756
PLPPR1	ENSG00000235347	1.3792922544726756
PLPPR1	ENSG00000249258	1.3792922544726756
TTR	ENSG00000260197	1.2293362159076602
TTR	ENSG00000280348	1.2293362159076602
TTR	ENSG00000228175	1.2293362159076602
TTR	ENSG00000225051	1.2293362159076602
GABRA5	ENSG00000273352	1.2293362159076602
GABRA5	SNORD25	1.2293362159076602
GABRA5	ZFY	1.2293362159076602
ENSG00000277689	ENSG00000237268	1.2293362159076602
ENSG00000277689	ENSG00000255557	1.2293362159076602
ENSG00000277689	ENSG00000271324	1.2293362159076602
ENSG00000277689	JCHAIN	1.2293362159076602
ENSG00000277689	SCN1A	1.3792922544726756
ENSG00000278818	FBN3	1.2293362159076602
