Regulator	Target	MI
ODAD2	TNNC1	1.2293362159076602
ODAD2	ENSG00000258035	1.2293362159076602
LOC101928417	OR3A1	1.2293362159076602
ENSG00000248125	LTA	1.2293362159076602
ENSG00000248125	ENSG00000244641	1.2293362159076602
WDR88	RHBDL3	1.2293362159076602
WDR88	NTSR1	1.2293362159076602
ENSG00000272483	ENSG00000239763	1.2293362159076602
TDO2	ENSG00000260723	1.2293362159076602
TDO2	ADORA1	1.3792922544726756
TDO2	ENSG00000223899	1.2293362159076602
TDO2	LOC100420057	1.2293362159076602
TDO2	ENSG00000254786	1.2293362159076602
TDO2	ENSG00000270255	1.3792922544726756
TDO2	ENSG00000224618	1.3792922544726756
TDO2	LEMD1	1.2293362159076602
TDO2	TRGC2	1.2293362159076602
ENSG00000255226	SCML4	1.2293362159076602
PRIMA1	ENSG00000278526	1.3792922544726756
PRIMA1	RPL36P10	1.3792922544726756
PRIMA1	ENSG00000282968	1.3792922544726756
PRIMA1	NUTM2B	1.3792922544726756
SCN1A	ERCC-00137	1.2293362159076602
SCN1A	ENSG00000283125	1.3792922544726756
ERICH2-ENSG00000239467	LINC00484	1.2293362159076602
FIBCD1	ENSG00000268804	1.2293362159076602
FIBCD1	CTLA4	1.2293362159076602
ENSG00000266588	SLC18A1	1.3792922544726756
SYTL5	ENSG00000264000	1.3792922544726756
ENSG00000263508	TRIM50	1.3792922544726756
ENSG00000263508	ENSG00000108785	1.2293362159076602
ENSG00000273901	ENSG00000259274	1.2293362159076602
LINC02269	EIF1AX-AS1	1.2293362159076602
ENSG00000223650	S100A5	1.2293362159076602
ENSG00000270282	RN7SL612P	1.2293362159076602
RPL21P16	ENSG00000251127	1.2293362159076602
RPL21P16	LINC01374	1.2293362159076602
PPFIA2-AS1	ENSG00000251127	1.2293362159076602
PPFIA2-AS1	LINC01374	1.2293362159076602
ENSG00000274403	SYCE3	1.3792922544726756
ENSG00000230183	ENSG00000259686	1.2293362159076602
ENSG00000275178	LOC102723475	1.2293362159076602
ENSG00000237268	ENSG00000283125	1.2293362159076602
WNT10B	ENSG00000226797	1.2293362159076602
WNT10B	ENSG00000261267	1.2293362159076602
WNT10B	ENSG00000236549	1.2293362159076602
IGFL2	KNDC1	1.2293362159076602
ENSG00000228551	ENSG00000260810	1.2293362159076602
ENSG00000228551	FCRL3	1.3792922544726756
ENSG00000228551	ENSG00000267366	1.3792922544726756
ENSG00000228551	UPK3B	1.2293362159076602
ENSG00000228551	ENSG00000271382	1.3792922544726756
ENSG00000228551	GRM5	1.3792922544726756
ENSG00000228551	ENSG00000250620	1.3792922544726756
ENSG00000228551	ENSG00000274363	1.3792922544726756
ENSG00000228551	RN7SL233P	1.3792922544726756
ENSG00000228551	CILP	1.2293362159076602
ENSG00000228551	ENSG00000229308	1.2293362159076602
ENSG00000228551	ENSG00000257539	1.3792922544726756
ENSG00000228551	KRTAP5-11	1.3792922544726756
ENSG00000228551	ENSG00000278881	1.3792922544726756
ENSG00000228551	LINC02899	1.3792922544726756
ENSG00000228551	RPS5P2	1.3792922544726756
ENSG00000228551	ENSG00000279463	1.3792922544726756
ENSG00000228551	SNORA73A	1.2293362159076602
ENSG00000228551	PLCH2	1.3792922544726756
ENSG00000228551	ENSG00000253125	1.3792922544726756
ENSG00000228551	ENSG00000272235	1.3792922544726756
ENSG00000228551	PRIMA1	1.3792922544726756
ENSG00000233108	PLCH1	1.3792922544726756
GJB3	CIAO2AP1	1.3792922544726756
GJB3	MIR647	1.3792922544726756
ENSG00000272235	ENSG00000255825	1.2293362159076602
ENSG00000272235	TNKS2-DT	1.2293362159076602
ENSG00000272235	ENSG00000272829	1.2293362159076602
ENSG00000272235	ENSG00000213046	1.3792922544726756
ENSG00000272235	ENSG00000267366	1.3792922544726756
ENSG00000272235	ENSG00000278881	1.3792922544726756
ENSG00000272235	ENSG00000249834	1.3792922544726756
