"id","module"
"ZNF267","blue"
"NOD2","blue"
"FTO","turquoise"
"MMP2","blue"
"MMP2-AS1","blue"
"LPCAT2","blue"
"CES1","blue"
"ADGRG1","brown"
"KIFC3","brown"
"CMTM4","blue"
"TPPP3","blue"
"ZDHHC1","blue"
"ATP6V0D1","blue"
"CTCF","turquoise"
"VPS4A","turquoise"
"ZFHX3","blue"
"MLKL","blue"
"WDR59","turquoise"
"COTL1","blue"
"AC025280.3","blue"
"CRISPLD2","blue"
"ZDHHC7","blue"
"KIAA0513","blue"
"IRF8","blue"
"CBFA2T3","blue"
"FAM157C","blue"
"AC133919.2","blue"
"ABR","blue"
"PITPNA","blue"
"SLC43A2","blue"
"SCARF1","blue"
"PRPF8","turquoise"
"MIR22HG","blue"
"PAFAH1B1","turquoise"
"P2RX1","blue"
"ARRB2","blue"
"CXCL16","blue"
"ZMYND15","blue"
"SCIMP","blue"
"CLEC10A","blue"
"ASGR2","blue"
"ASGR1","blue"
"GABARAP","blue"
"TNFSF13","blue"
"CD68","blue"
"GAS7","blue"
"TNFRSF13B","green"
"SPECC1","blue"
"LGALS9","blue"
"RAB34","blue"
"GOSR1","turquoise"
"ADAP2","blue"
"RNF135","blue"
"AC015849.1","brown"
"CCL5","brown"
"AC243829.4","brown"
"CCL3","blue"
"CCL4","brown"
"AC243829.2","brown"
"AC243829.1","brown"
"CCL3L1","blue"
"CCL4L2","blue"
"RARA-AS1","blue"
"JUP","blue"
"ATP6V0A1","blue"
"CCDC200","blue"
"DUSP3","blue"
"GRN","blue"
"FZD2","blue"
"TBX21","brown"
"GNGT2","blue"
"ABI3","blue"
"ABCC3","blue"
"PCTP","blue"
"AC015912.3","blue"
"SCPEP1","blue"
"CUEDC1","blue"
"PRR11","blue"
"VMP1","blue"
"USP32","blue"
"PECAM1","blue"
"MILR1","blue"
"GNA13","blue"
"RGS9","brown"
"BPTF","turquoise"
"CDC42EP4","blue"
"TTYH2","blue"
"CD300A","blue"
"CD300LB","blue"
"CD300C","blue"
"AC064805.1","blue"
"CD300E","blue"
"CD300LF","blue"
"TMEM104","blue"
"SLC16A5","blue"
"UBE2O","turquoise"
"ST6GALNAC2","blue"
"AFMID","blue"
"TIMP2","blue"
"GAA","blue"
"BAIAP2-DT","blue"
"BAIAP2","blue"
"AATK","blue"
"MAFG","blue"
"SECTM1","blue"
"METRNL","blue"
"THOC1","turquoise"
"EMILIN2","blue"
"EPB41L3","blue"
"AP005059.2","blue"
"AP001021.3","blue"
"L3MBTL4","blue"
"RAB31","blue"
"IMPA2","blue"
"TUBB6","blue"
"SPIRE1","blue"
"RBBP8","blue"
"OSBPL1A","blue"
"KLHL14","green"
"DTNA","blue"
"C18orf25","turquoise"
"RNF165","brown"
"CTIF","blue"
"SMAD4","turquoise"
"TCF4","blue"
"ALPK2","blue"
"ZNF532","blue"
"SERPINB8","blue"
"SOCS6","blue"
"ZNF516","blue"
"AC009716.1","blue"
"CFD","blue"
"ARID3A","blue"
"GNA15","blue"
"MATK","brown"
"RFX2","blue"
"ADGRE1","blue"
"INSR","blue"
"MCOLN1","blue"
"STXBP2","blue"
"RETN","blue"
"MCEMP1","blue"
"FCER2","yellow"
"PRAM1","blue"
"MYO1F","blue"
"AC011511.2","blue"
"ICAM1","blue"
"S1PR5","brown"
"ILF3","turquoise"
"C19orf38","blue"
"SMARCA4","turquoise"
"TSPAN16","blue"
"AC011472.2","blue"
"RAB3D","blue"
"PLPPR2","blue"
"LYL1","blue"
"AC020916.1","blue"
"PRKACA","blue"
"ADGRE3","blue"
"ADGRE2","blue"
"MYO9B","blue"
"SLC27A1","blue"
"COLGALT1","blue"
"IFI30","blue"
"LRRC25","blue"
"HOMER3","blue"
"TSHZ3","blue"
"CEBPA","blue"
"KCTD15","blue"
"LSM14A","turquoise"
"CD22","yellow"
"FFAR2","blue"
"TYROBP","blue"
"CAPNS1","blue"
"KCNK6","blue"
"RASGRP4","blue"
"BLVRB","blue"
"SHKBP1","blue"
"CYP2S1","blue"
"CEACAM4","blue"
"CD79A","yellow"
"PLAUR","blue"
"PVR","blue"
"NECTIN2","blue"
"PTGIR","blue"
"C5AR1","blue"
"C5AR2","blue"
"DHX34","blue"
"FTL","blue"
"FCGRT","blue"
"KCNC3","blue"
"SIGLEC9","blue"
"SIGLEC7","blue"
"CD33","blue"
"NKG7","brown"
"SIGLEC10","blue"
"SIGLEC5","blue"
"AC018755.4","blue"
"SIGLEC14","blue"
"FPR1","blue"
"FPR2","blue"
"FPR3","blue"
"NLRP12","blue"
"VSTM1","blue"
"OSCAR","blue"
"MBOAT7","blue"
"LILRB3","blue"
"LILRA6","blue"
"LILRB2","blue"
"LILRA5","blue"
"LILRA2","blue"
"LILRA1","blue"
"LILRB1","blue"
"LILRB4","blue"
"KIR2DL3","brown"
"KIR2DL1","brown"
"KIR3DL1","brown"
"KIR3DL2","brown"
"FCAR","blue"
"NCR1","brown"
"TMEM150B","blue"
"FAM110A","blue"
"SIRPB2","blue"
"SIRPD","blue"
"SIRPB1","blue"
"AL109809.5","blue"
"SIRPA","blue"
"C20orf27","blue"
"RASSF2","blue"
"TMEM230","turquoise"
"PLCB1","blue"
"RIN2","blue"
"CD93","blue"
"CST3","blue"
"CST7","brown"
"HCK","blue"
"ACSS2","blue"
"RBM39","turquoise"
"SOGA1","blue"
"SRC","blue"
"MAFB","blue"
"CD40","yellow"
"SULF2","blue"
"CSE1L","turquoise"
"CEBPB","blue"
"SMIM25","blue"
"CTSZ","blue"
"ZBTB46","blue"
"PRPF6","turquoise"
"BACH1","blue"
"OLIG1","blue"
"IFNGR2","blue"
"SON","turquoise"
"ITSN1","blue"
"KCNE1","blue"
"ETS2","blue"
"BACE2","yellow"
"AATBC","blue"
"LINC01678","blue"
"TRPM2","blue"
"SLC19A1","blue"
"BID","blue"
"CLTCL1","blue"
"LINC01637","blue"
"PPM1F","blue"
"IGLV1-51","green"
"IGLV1-40","green"
"IGLV2-14","green"
"IGLV2-11","green"
"IGLV3-10","green"
"IGLC1","green"
"IGLC2","green"
"IGLC3","green"
