,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
CHRNA4,-0.0223345699998925,-0.198625670387041,-0.223749406818531,-0.505418306885021,0.41491894566721,-0.570182782947806,0.00214498502355012,0.444521748964781,0.0520599539856098,0.805459295997396,0.182316429040844,0.249767605762081,0.212665906884928,-0.0728609201680603,1.35555740201707
CPLX2,-2.03675570475794,0.16157280550423,-0.973687974288658,0.217614855333689,0.264350970855865,0.294009613322185,0.0399800309331736,-1.58824669061739,-1.2219771027292,0.867020671436106,1.36652755266862,0.644401310338674,-0.629079739335538,-0.823621877885903,0.622812042166746
CRH,-0.0502591317787474,0.157893485530737,-1.36402540427125,-0.720183565400072,-0.0145273827206044,0.0662498578030955,-0.145941599197887,-0.0362845623437856,-1.17756187520753,0.0878477911305682,-0.0324516981230049,-0.900462749979438,0.147603418395827,-0.160933851449487,-0.232922788180862
CTNND2,-0.494210054719393,-0.403045839666136,-0.350876037546851,-0.0578495380714891,0.422644576088155,-0.104531655269778,-0.207122973313954,-0.318733337867475,-0.0605187338150096,-0.14136301751632,0.0784378382859954,-0.289469230791514,0.0780722424865526,-0.189265229112684,-0.784550669746887
DPEP1,-0.0222447763964746,-0.857244048582077,0.000358167823906966,-0.6039186795487,-0.0183948775791941,-0.00371253245098321,-0.00424724413853085,-0.0831527538834866,-1.03300634017057,-1.13586302727414,0.359189989386067,0.0166266540672907,0.066281516104699,0.100143241286397,-0.292953661726442
ENSG00000235060,1.20288513845075,0.0618875571306905,0.991390796167489,-0.250251303625484,0.377029039884969,0.258045259165655,0.916987389669839,-0.0754361218414873,0.291787884655908,2.54760110014089,-0.841616596865778,2.35950075596256,-0.0936037767016312,-0.0372840562930955,0.576141595020805
ENSG00000253112,-0.299742521872721,0.108331259941909,1.53807041334637,-1.20570066490024,1.6612203019306,0.847542425231534,-2.13404641679144,-0.518443468634121,-0.134484274640531,-1.56429351203544,-1.46880397903101,-1.62612514736316,-0.603471977384394,0.0740291325129777,0.139355741036606
ENSG00000259251,-0.68452741328202,0.865681044528701,-0.524727418925265,0.0404866671168884,0.401113823322018,0.559071398229527,0.55573986538361,-0.417261950223018,-0.396446991141405,0.0963056011001291,0.570181039004614,-0.222085987204345,-0.0821964452090865,-0.251676284403596,-0.801041452664003
ENSG00000272163,-0.0705383541728087,-1.25666651398195,-0.0366741592257348,-0.507982191015768,-0.170044495590208,-0.228270749616885,-0.496393482544177,-0.167219226819621,-0.00085273045366207,-0.138308844521581,0.26775270353668,0.0586555725173436,-1.21885097988977,-0.323919483674069,0.818749379127864
ENSG00000277689,-2.2662597520243,-1.62428766364221,-0.9508255040493,-1.24127773646794,0.125175487234948,0.133669060695789,-0.243294823099712,-0.383879197634704,-0.451681101402896,0.296388705748951,0.156441337639805,-0.0994820134688452,-1.41658671230115,-1.49467544728008,-0.416898589994422
