,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
AQP5,-0.225465275636253,-0.0919535267637899,-0.132564977991731,0.0248945533120179,-0.0508913061834213,-0.120945264323599,-1.43617750526315,0.0920669953145212,-0.14963074363691,-0.226652826694913,-1.09912946417617,-0.608731092473856,-0.188437080292652,1.14428675578497,-0.723973969289332
CBX2,-0.470002458336708,-0.331206842902728,0.00534446332801255,-0.159441519425727,0.145643726090762,-0.0233646951349074,-0.0831594394125373,-0.137215795180846,-0.0345579705695814,-0.249519928353552,1.04150411414607,-0.0351721811758126,-0.0433302098633623,-0.109131816528006,-0.138649547682939
CDCP2,0.349265470605997,0.406998188123707,0.311880978466172,0.239492297517412,0.375895745470167,-0.0648579740093944,-0.883916098840531,-0.508167954027882,-0.203193739569834,-0.0127051588220093,-0.487607799496193,-0.463811732713625,0.144346803933543,0.532141029872606,1.02708408901531
CHD1-DT,0.756458071042368,0.131625949500568,-1.22958458822259,-1.06053837712763,-0.131271538813109,0.053715574471435,1.4769926217354,-0.0221513949363662,0.760210348784167,-0.212656708641958,-1.56367357773472,-1.66966843825715,-1.83747161962335,0.303351675559983,0.087232598572458
CILP,0.454102413949386,-0.422653073125458,0.713974854909063,-0.0434040987281425,0.191155436643245,0.0236202562771644,0.244781767203648,-0.00950854988570462,0.0620507317997587,-0.197683577695197,-1.67991897143396,0.331872105864298,-0.239543375478733,0.0154822212718481,1.23047680958452
CPLX1,0.67851864207194,0.181948057062074,0.0602219318174993,-0.637224169148158,0.924365528269623,0.0838813181182495,-0.299034902908811,0.194239036111064,-0.11882419953414,-0.467360950913698,-0.158473623252286,0.157244671370935,0.773626179768773,0.213163172945003,-0.187768909697984
CRYGN,-0.00501000034267033,0.00318328658752195,-0.0318929184195807,-0.716603352162639,0.210266064921328,-0.0172895096193572,0.0520291850373391,0.836720686001822,-0.160150130754753,0.0102355944833616,0.567682485515315,-0.0335076042742267,0.804840354949683,0.0143094344134892,-0.70950929575928
ELFN1,-0.2258153035118,-0.0753467239590865,-0.0531802535345345,0.0102007565130998,-0.000549396023547335,-0.0716748416359742,1.4855255792267,0.0351380774975855,-0.0187119479720937,-0.248670861448668,-1.0823275766097,-0.682013500100895,-0.0866924636810888,1.16303425869927,0.781465131267747
ENSG00000213216,-0.156002766130218,-0.0198853788955664,-0.155191265225504,0.0286552978435513,-0.104912982765259,-0.0887457188453623,-1.66211353482321,0.111879247729342,-0.269450504370804,-0.231205932096078,-1.25190985130216,-0.710850272727553,-0.310209827880224,1.0190867412043,-0.940910196465613
ENSG00000221972,1.42165326707724,0.18313825462909,0.0974910862070645,0.0701301650904604,0.2090459934467,0.106503555322308,-0.0738531885725212,-0.577217373462204,0.070583047468925,0.197381365514738,-0.0725442199667824,0.0395570590703268,-0.267760539573545,0.042174623949264,0.323283445706978
ENSG00000225192,-0.0792227868777995,0.800375094819777,-0.0951530087750698,0.153957683790088,-0.192120779650404,0.0728978257133184,0.639017532513216,0.486432782075295,-0.020081984754791,-0.467814456037482,0.659065573406101,-0.366254150945815,-0.0956689910729796,-0.66459767422278,-1.42861004715764
ENSG00000231739,-0.490234057179044,-0.326853125077235,-0.102913650986965,-0.241411504732473,0.239139421531147,-0.111996851176315,0.0873233912231755,-0.185450801288784,-0.0379937656945787,-0.300325208921281,0.830285714479536,-0.0465354507141298,-0.0315323438926924,-0.244044703586949,-0.29233832372579
ENSG00000232654,0.202769131480578,0.39653947578976,-1.14151724691168,0.182487330678641,0.371869185977293,1.87166415197872,-0.371108049825697,-0.564984900442674,-0.668825846583602,-0.759450776166573,-0.805381378942296,-1.28893344922704,-0.725891713741808,-0.34960638216364,-1.92313090448975
ENSG00000233297,-0.431635455144361,-0.30370808661474,0.0166066756637533,-0.833410014842008,-0.792782646841919,0.0595365299353335,0.0789762635938079,0.0635448110475715,0.169621293670495,0.302711641033233,0.254707358804888,-0.215328753870147,-0.777191856133659,0.0253704165892425,-0.127983046271754
ENSG00000237004,-0.404037942776639,-0.165528864353796,0.0530409676094326,-0.894905027095382,0.580381599319058,0.107393911980004,-0.114759187466236,0.180266876554398,0.0816616437352696,-0.244461468966367,0.135135184318005,-0.0996539311034572,-0.929353893072264,0.156987277094781,-0.235532178828163
ENSG00000241537,0.0637677501679649,-0.158006538446253,-0.741335350787387,-1.10606677542311,0.0585403485703582,-0.631454627886114,0.372570897242612,-0.144718085271742,-0.224632057756272,0.0240529270394001,0.244148148247639,-0.354629162701576,-1.25738015194765,-0.112522950617204,-1.50698801166544
ENSG00000241622,2.09692511504283,1.26711307586602,-0.18278159634936,-0.410624249618051,0.726815536407853,-0.0627617057368005,0.62113579516221,-0.0398170044127298,0.0674509210821115,-1.06361413052507,-0.305521333983678,-0.261811697929959,-1.39063937683382,1.23830727147197,0.491663593253133
ENSG00000242795,0.249181450791858,0.336721898746964,-0.374884008841181,-0.377117547034047,0.863050332752786,-0.130753146171873,-1.85893904905929,-0.814129787933188,-0.244015910325495,-0.166392194671221,-0.935803481192673,-0.550937173868656,0.325416316920514,1.28460530748394,-0.0407611559776889
ENSG00000247345,0.1987588195056,0.0653918844652208,0.0718117520055246,-0.0135723035863589,0.0195203118963404,0.0748979093640315,1.39814557285346,-0.0491460813957115,0.0643196373488714,0.20828462742177,1.08599345062425,0.610267741612473,0.0861705249361427,-1.1329733434995,-0.701199847786732
ENSG00000249258,0.616324001211041,0.591893854813762,-0.196642902967497,-0.268566591150152,0.275154783062913,-0.259969741470026,0.92082052990041,-0.941650188746076,0.647555420918544,-0.841467133691476,1.07572912317188,-0.452604215391142,1.02192200803732,0.587844152793437,-0.358791739467966
ENSG00000261731,0.34840030458143,0.0315951949507852,1.51680281979938,-2.05773651772897,1.50311377652594,1.14356989171712,0.515531192823129,-0.147020130373086,0.0108739099215733,-1.73639980451473,-1.8900297888338,-1.08603284726196,-2.31209475654116,0.0933986897892574,-0.232087415950419
ENSG00000261970,-0.957289507314129,-0.0981212592187235,0.938299050761836,0.286683351008712,0.27180963342392,0.375831527780015,2.16406149830696,-0.0090174174452346,1.59681751017531,0.91693026045955,-0.557259128617343,1.27082907536392,0.0321429721694838,-0.554630439123285,0.570503540820948
ENSG00000264596,1.31851614934545,0.191006231477118,0.1282758171862,0.191499999974937,0.0480954137183808,-0.781668506191915,0.00920368073036863,-0.154113044924556,-0.974922544423147,0.033233989239162,0.318961226225116,-1.7242762538106,0.713274096670447,0.00279616138840884,-0.86591669779369
ENSG00000267142,-0.966724382550438,0.0533651692251943,1.09177170545944,0.213192923829174,0.27666304910524,0.211532044758227,1.83991775928964,0.059071832563206,1.32648447156818,1.37646280888554,-0.441555888932033,1.68821627750213,-0.0158338782893654,-0.261582523808027,0.352541258050107
ENSG00000271978,-0.117070834929125,0.530250935927935,0.118278603561772,0.0257233033646643,1.12422290166988,0.0621851121577124,0.0105056947866665,0.356883784714825,-0.148719602296656,-0.433404478632707,0.438546515603871,-0.147587136559108,-0.347471416121353,0.262589414235488,0.184893451844761
ENSG00000272023,0.130804437319681,0.437734608281633,0.109669271866553,0.0239123036236542,0.053799611218684,0.0174799477629578,-0.533816706436644,0.483384380680228,-0.00455129628346777,0.00936625807108296,0.57891101827195,-0.0670563113826096,0.0140908402083241,0.525756410869816,1.09687529031565
ENSG00000274204,1.29150909289773,0.270489013010391,0.129367997405402,-0.0938310542413301,0.210537573927039,0.0771770762179299,0.0621696806064836,-0.499690761111896,0.106362630316523,0.180871678231322,-0.124336985766031,-0.00832167807751743,-0.373145523604245,0.129444586308711,0.267891713608436
ENSG00000278648,0.515984519720621,-0.0216071970272027,0.0587556564873735,-0.871674460852137,0.786329673140233,0.10232399871339,-0.200914992446058,0.195126407006131,-0.00204965535526766,-0.353803060569731,0.013295496377287,0.00785405812352859,-0.947003779152596,0.189173104608644,-0.226076418338324
ENSG00000280140,0.130398544272945,0.226238452772923,-0.290821414027153,-0.2272832241684,0.769191738353664,-0.0790735295677486,-1.80339560021223,-0.798488694306061,-0.141433480318823,-0.0847757039812853,-0.853616772299846,-0.30505692154666,0.18533795150762,1.213875263367,-0.00854612484295208
EWSAT1,-0.102539961629284,-0.000927032980194505,-0.000627555776221218,0.000120585312763306,1.30952135816118e-05,-0.000868622274556204,1.52817529579915,0.000412878507871076,-0.000180095497816103,-0.101991685960542,-1.06993409951682,-0.480775200038085,-0.000389971255107066,1.05795185182893,0.766316386322182
FCN3,0.256744548941298,0.295200019321412,-0.366504411450035,-0.324370966498608,0.888588088492524,-0.102898464103208,-1.88722907998492,-0.75445428572068,-0.210369140793396,-0.178311300005622,-0.980530073784363,-0.517613678382085,0.290334470379355,1.32433988921794,-0.0802017891709259
GATA5,-0.379069350681436,-0.185032100591565,-0.199701279184018,0.0377609283939305,-0.0526393638868365,-0.210200577182897,-1.14944080875038,0.136521650029374,-0.175446179114587,-0.408969320448161,-1.11492226105884,-0.857966470529733,-0.264852379762918,1.27483823643725,0.593219948761303
HAGLR,0.194524814903516,0.25900775276983,-0.332986915082937,-0.285424665668762,0.84666095077002,-0.0643057217356476,-1.86729258850059,-0.72381545185141,-0.141771084078427,-0.138046749637326,-0.952090795669155,-0.403410931723372,0.200681483395673,1.30032476945911,-0.0771597416867438
HOXA7,0.0787700943254027,0.116988085553071,0.587369835512075,-1.35622612947978,1.41669869480864,0.0514529938863256,-0.652918153690926,-0.294899856564529,0.504607406411709,1.64901819092859,-0.841394955880797,1.05007119296915,-1.57932247640692,-0.967146770540624,-0.404879709548014
IGLV2-11,0.0682829259384668,0.123460793210769,-0.196345570448813,-0.674056428490713,0.241618791661396,1.72868568197874,0.156298307885942,-1.93122979181403,-1.11703961485944,-1.55709931066,-0.521873421497771,-0.11467625374653,-0.0448986082626673,0.0574182631675411,-1.41932215261024
KRT18P7,-1.34020122560502,-0.0437874176743275,-0.0112318443013182,-0.101311631223505,-0.130083786776112,-0.0442718438378304,0.0884106304492573,0.481521573549823,-0.00179590432523131,-0.115428877032365,-0.0056465227072953,-0.0348941243032799,-0.291302261353728,0.0317970082247446,-0.217634037604784
LHX9,0.195216011346179,0.0866235456289418,0.0541694766441192,-0.563164569287296,0.447407440487346,0.0228417114958474,0.283773516516905,0.986517550397462,-0.243218806106002,-0.0159367982052294,0.89705779408846,-0.138295261876853,-0.728237683232152,-0.0273453638496641,-0.606760116373048
LINC00619,-0.530085049525443,-0.255009584456261,-0.130750311373053,-0.15403363231152,0.213573872247874,-0.114783742526446,0.036000145469135,-0.217886524823023,-0.0307740677988136,-0.206504933624448,0.611106774160363,-0.00129489780960742,0.020497991068839,-0.22968268370985,-0.31870928107569
LINC01704,0.193170608844925,0.254198300999632,-0.339020354246399,-0.305513939793811,0.876148838338982,-0.0150634666959984,-1.90532769336864,-0.628860113625324,-0.0778374844675453,-0.147617656355494,-1.01284826815771,-0.540506007306499,0.130349131482194,1.35455417482681,-0.135199904402629
LINC02880,-0.0503733670996504,-0.179620864121892,0.247826836084411,0.184360149179463,-0.715781585173837,0.0286162681581294,1.77840592715099,0.757483741564052,0.0521463238678566,0.0331657145131256,0.818079348878711,0.191854498068705,-0.0688698764286095,-1.18391577815376,0.00561843853003289
MYMX,-0.173425869705116,-0.057969559088832,-0.142304106692939,0.0264968195619628,-0.075674868344045,-0.105301213771035,-1.59180255957672,0.10073324514386,-0.204388719272482,-0.179007485137715,-1.13430702196867,-0.554171726688638,-0.243877985634248,1.08033132498942,-0.857299911002397
N4BP3,0.105938593524353,0.00596952452345133,-0.00804481869554578,0.00144648888463424,-0.00905464537957342,-0.000385456079963602,-1.54592942919181,0.00612649588018447,-0.0214880345482438,-0.114215280246681,-1.09728044648639,-0.514479527131206,-0.0232283801337914,1.0444395031335,-0.787281511761535
PLAAT1,1.4819002303796,0.264624345684861,0.135709283482912,0.217274317583224,0.327364753592156,0.189325052591487,-0.205349496493561,-0.648983686332455,0.0901214803432329,0.308317418890589,-0.083010046953009,0.0939976915554844,-0.264069296365749,0.0116644299419738,0.400352632208387
SFTA2,0.251931471903929,0.342291241199924,-0.380933370760106,-0.383112266790865,0.864497797649079,-0.133104752873661,-1.85930689498054,-0.81674213369321,-0.247881030134189,-0.168032424057154,-0.936241468711759,-0.558446284049636,0.330291301781293,1.28493614691748,-0.0401202579320864
SNORD25,-0.411561078733049,0.828105968773329,0.0888974425518168,0.0453175441519488,0.844997502655502,0.0611357380827072,-0.955967004322635,-1.71842493085491,-1.21514185745563,-0.269867155182131,0.0200631745854561,-0.570812855205333,-0.0804441721693122,-0.225841307133759,-0.985838341652577
ST6GALNAC1,1.46837753278012,0.300148398620348,0.15762644682492,0.0858672928533281,0.275510774543005,0.162751474730783,-0.095821655571133,-0.651897214022,0.11599103709471,0.266355354854057,-0.121425549648633,0.0550018749900908,-0.308987091147608,0.0790096469163653,0.409732675767556
TMEM252,-0.53126667943331,0.213307897202929,-0.136888696946644,-0.0171493745173282,0.133272509513131,-0.0943724821405373,-0.0181956497704656,-0.199823377385793,-0.0141706505091421,-0.0447717524633371,-0.732070662132563,0.0507195571120708,0.0765060120717602,-0.16175032342817,-0.275317556583999
TSPYL6,-0.611760072980405,-0.45711490935958,-0.110863912685907,-0.283777560136964,0.207584122970788,-0.126969415207793,0.290852193182545,-0.0584538003734081,-0.0245439924139141,-0.273580019036919,1.06449023600193,-0.0903972440241106,-0.0697744829961824,-0.239872294245863,-0.215838781574593
VSTM5,-0.00694514964354691,0.10437579923181,-0.0684038025597136,-0.0266344464872111,0.859025671224346,1.40124841729024,0.00285292248558036,-0.297323157830544,-1.70597187050201,-0.185755404395984,-0.101962159493602,-1.04142346908068,1.1212960024015,-1.54712388652481,-0.467837907566067
XXYLT1-AS2,-0.41750674994853,-0.22013615377049,0.0443923888181468,-0.886172190854438,-0.532878388114794,0.0982771804883085,-0.058823128144281,0.153175118175197,0.115012672838609,-0.227746054735794,0.18190719130478,-0.143053317971086,-0.894343413633832,0.123685898341059,-0.214698627102831
