,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
ADH1C,-1.72737237680092,0.333134079265439,-1.2770804841815,0.643120473955198,-0.0610782382879228,0.102399424683901,-0.0606636226417509,-1.87780474857453,-1.77020295235996,0.285115298026172,1.42732554788464,-0.3590069475828,-0.236449756359493,-1.11755549883299,-0.811614657539143
ADRA1B,-0.301694979001661,-0.0165887324608263,-0.160601769626546,0.254080525774067,-0.476048036937403,0.679910143653035,0.927924341692586,-0.108921125099966,0.162672122020353,-0.066013637281344,1.53140223111477,0.71476690924511,0.304132625026422,0.43082494390041,-0.932613680491371
ANO3,-1.74431987767662,-0.150205669917487,-0.0223445317142282,-0.331690879258615,-0.138788705627913,0.141378060999783,0.190227821137089,0.277338631691496,-0.131563535210925,-0.67900439988643,-0.0497944209562472,-0.180461433711024,-0.21016495878246,0.0410852221030619,-0.307281535662082
CCL11,-1.15631304169598,0.426543732921417,1.03409177866478,0.682002622444508,1.45569888905871,0.614067582442531,-0.900057905407142,-1.80173330116419,-0.30989156676669,1.26774695270192,0.66181263677957,1.18160553530035,0.261933400373128,-0.58354344147429,-0.281131843508786
CHRDL1,0.25866278967244,0.177001045468539,-0.238267730729448,0.160606145209932,0.118769545067423,0.20665245596823,0.373601915974406,-0.220414510249223,-0.836651848981365,-1.19928778877552,0.244279615319262,-0.118784723555766,2.39337573616618,1.37516627320907,0.208296949880595
CHST8,-0.0461749061122321,0.00252582196572924,0.235341804573777,1.86358464568243,0.0150636118380992,-0.0141073033908059,1.31898778847005,0.217240281784437,0.282841886554734,0.0823511751034801,1.81560519122677,-0.0695244302760297,1.23458561766937,1.08376310688063,0.0332681170529427
COL25A1,1.52275279191364,-0.0354210183500524,-0.014189293520388,0.0659609820073313,-0.0209592858427242,-0.00339568647025444,-0.0443964400006035,-0.0350277905661915,-0.0077987180153623,0.429100598276063,0.0274840134877094,0.0229231015553848,0.17981710106226,-0.0286561585094438,0.0430245162018547
CPO,-1.81731372503965,0.309149606966723,1.06053275396599,0.0164271151578328,0.33789266330665,-0.404937787671337,-0.146165474127685,0.296664931833251,-0.347421665353358,0.198538643022141,0.376019444562231,-0.36257635693575,0.156989840224193,0.477123460402972,-0.537031885050489
DRD1,-0.574440483758565,-0.52409457196347,-1.36207267886197,-0.712081915532667,0.121151341104537,0.364500308048726,-0.00100079889368479,-0.543639500332692,-0.257666966999195,0.510833228506167,0.0319023472048064,0.151327641321958,-0.425951243652158,0.420091674159472,0.0911862835109984
EN1,-0.754466108022829,0.0717563671148857,0.580127854162585,0.0990396984888296,0.742367318621959,0.413628375880875,-0.777232347663259,-0.277823743694473,-0.379803831700473,1.04282417017074,0.603707499535092,0.18045764106189,0.195456044299798,-1.34256758723738,-0.109410160335473
ENSG00000213046,0.248089651690479,0.230120467793569,-0.811632418595081,-0.00433127070960181,-0.845028138351716,-1.11069446432112,0.427812763085977,-1.77835929388004,-0.360484415249876,-0.126719654381493,0.684539897658177,0.0570376703392537,1.34916714383933,0.0507310519940533,-0.411086730873709
ENSG00000227527,-0.015436513315696,-0.099085373136076,-0.0119018856328605,-1.70402261241758,-0.691556143346955,-0.0214226855157377,-0.462952738135042,-0.0568775271908203,-1.07917260174066,0.0978584234614458,0.0785841444446671,1.16099495617962,0.377441705800427,-2.48289049030327,-0.233550157658687
ENSG00000227644,0.206946571839976,0.357770533733927,0.976495083335053,1.07179495924574,-0.0701150401477107,0.22567934718807,0.131662438907073,-1.08067195950847,1.24686578104754,0.814309161527531,0.153858993000343,1.35550222451995,0.0214390799416205,-0.097498240902628,-1.3577713415074
ENSG00000228551,0.194288803576848,0.217444737096676,-0.847927413848792,-0.132820443117334,-0.910651186089603,-1.05286431617837,0.295382215417096,-1.37415761955208,-0.49105013606604,-0.322767460710479,0.540011679866188,-0.192607250284142,1.13047796426408,-0.351635022016846,-0.358989203582686
ENSG00000229832,-1.77822612547066,-0.761155719082522,0.0153604344521942,-0.0502783809391955,-0.362566023532876,-0.904889240530906,-1.17686518762014,-1.34921497992552,-2.13131467641854,-1.21879559197717,0.015947138485296,-0.984915751792947,-0.142629653054563,-1.12977720867939,-1.5674439344097
ENSG00000233255,0.0459682799205798,-0.279154115250276,-1.48027472537184,1.03896689369029,0.325695852350051,0.189126358938844,-2.14946461262791,0.455695197091314,0.022714678729167,0.217756023874536,0.34286897797274,0.610182027544902,1.31906366550733,0.00124418882318023,-0.0106328842448459
ENSG00000235347,-0.272138309120671,0.278197630828306,-0.93964231421059,-0.658293604807269,0.510893882274315,0.55538824211301,0.320643460834924,-0.442855058888657,-0.231136476628173,-0.247918580807036,0.201718580346145,0.607869605858366,-0.59610678981364,-0.868971789767321,-0.819106993042656
ENSG00000248125,-1.9511715450285,-0.0754795837583569,1.36317936622976,0.279971623636153,0.549787573023292,0.418572736832257,-1.09916480762512,0.127980101650876,-0.434035869371416,-1.39597148819487,0.442776706890918,0.0599397980183789,-0.436472717143531,-0.279971623636152,-1.54104860250325
ENSG00000249834,0.545071940147399,0.276899137557586,-0.936786455565592,-0.0611002897963222,-1.43546857074849,-0.508587997387535,0.988890377459654,-0.443003451697269,-0.324805605309145,0.767269636736673,2.11041373959698,0.656596074527802,0.979312265802708,-0.147673265473548,-0.149109004650452
ENSG00000250620,-0.316345531805987,0.639944395243179,-0.251344848455387,-0.105266158400285,-0.288280039929194,0.498923367200027,0.372323857368262,-0.0571581059222874,0.0725527878675111,0.408538847803285,1.62006560727618,0.15991808271285,0.5841354700118,0.379645319824605,-1.12598681844501
